"觀測時間(LST)ObsTime","測站氣壓(hPa)StnPres","海平面氣壓(hPa)SeaPres","測站最高氣壓(hPa)StnPresMax","測站最高氣壓時間(LST)StnPresMaxTime","測站最低氣壓(hPa)StnPresMin","測站最低氣壓時間(LST)StnPresMinTime","氣溫(℃)Temperature","最高氣溫(℃)T Max","最高氣溫時間(LST)T Max Time","最低氣溫(℃)T Min","最低氣溫時間(LST)T Min Time","露點溫度(℃)Td dew point","相對溼度(%)RH","最小相對溼度(%)RHMin","最小相對溼度時間(LST)RHMinTime","風速(m/s)WS","風向(最多風向)(360degree)WD","最大陣風(m/s)WSGust","最大陣風風向(360degree)WDGust","最大陣風風速時間(LST)WGustTime","降水量(mm)Precp","降水時數(hr)PrecpHour","10分鐘最大降水量(mm)PrecpMax10","10分鐘最大降水起始時間(LST)PrecpMax10Time","一小時最大降水量(mm)PrecpHrMax","一小時最大降水量起始時間(LST)PrecpHrMaxTime","日照時數(hr)SunShine","日照率(%)SunShineRate","全天空日射量(MJ/㎡)GloblRad","能見度(km)VisbMean","A型蒸發量(mm)EvapA"
"1","1008.1","1018.3","1010.3","2014-01-01 08:33","1005.8","2014-01-01 15:11","17.1","25.0","2014-01-01 13:23","11.2","2014-01-01 06:11","11.0","70","37","2014-01-01 13:03","0.5","320.0","5.7","360.0","2014-01-01 14:20","0.0","0.0","0.0","","0.0","","9.6","90.3","15.03","9.3","2.3"
"2","1006.5","1016.6","1008.9","2014-01-02 08:28","1004.1","2014-01-02 14:51","19.3","26.4","2014-01-02 13:08","13.1","2014-01-02 06:11","12.5","67","42","2014-01-02 11:54","0.7","60.0","4.6","10.0","2014-01-02 12:39","0.0","0.0","0.0","","0.0","","9.7","91.2","14.92","9.3","-1.8"
"3","1004.6","1014.6","1006.7","2014-01-03 08:58","1001.9","2014-01-03 15:07","20.9","26.4","2014-01-03 14:25","17.4","2014-01-03 05:51","15.6","72","53","2014-01-03 13:03","0.9","350.0","6.2","360.0","2014-01-03 16:28","2.0","3.1","0.5","2014-01-03 05:37","0.9","2014-01-03 05:00","4.2","39.5","10.86","9.3","2.0"
"4","1005.4","1015.5","1007.5","2014-01-04 22:29","1003.7","2014-01-04 04:25","18.3","22.1","2014-01-04 14:10","13.7","2014-01-04 23:10","11.1","64","47","2014-01-04 14:10","1.9","340.0","8.4","360.0","2014-01-04 15:14","0.0","0.0","0.0","","0.0","","2.9","27.2","9.51","8.8","2.9"
"5","1007.4","1017.6","1009.3","2014-01-05 08:26","1005.5","2014-01-05 13:29","16.6","22.5","2014-01-05 13:37","11.9","2014-01-05 06:15","8.2","59","38","2014-01-05 14:08","1.1","330.0","6.0","320.0","2014-01-05 16:03","0.0","0.0","0.0","","0.0","","9.0","84.5","14.45","6.9","1.7"
"6","1007.9","1018.1","1009.4","2014-01-06 08:54","1006.4","2014-01-06 14:00","16.4","22.3","2014-01-06 14:18","12.7","2014-01-06 01:12","10.3","68","45","2014-01-06 14:38","0.8","360.0","6.3","300.0","2014-01-06 15:35","0.0","0.0","0.0","","0.0","","2.5","23.4","7.19","8.1","1.3"
"7","1007.1","1017.3","1009.2","2014-01-07 09:04","1005.3","2014-01-07 13:47","17.6","25.2","2014-01-07 13:56","12.9","2014-01-07 06:53","12.0","71","39","2014-01-07 13:47","0.6","20.0","6.9","340.0","2014-01-07 14:27","0.0","0.0","0.0","","0.0","","9.0","84.4","14.14","9.3","1.6"
"8","1007.4","1017.6","1009.0","2014-01-08 09:53","1005.6","2014-01-08 14:28","18.4","25.7","2014-01-08 12:03","13.8","2014-01-08 06:34","13.0","72","45","2014-01-08 11:11","1.6","10.0","9.1","20.0","2014-01-08 16:33","0.0","0.0","0.0","","0.0","","5.4","50.6","11.23","9.0","2.1"
"9","1011.2","1021.5","1013.5","2014-01-09 22:16","1008.7","2014-01-09 00:11","14.8","18.1","2014-01-09 14:05","13.4","2014-01-09 18:38","9.3","70","60","2014-01-09 14:04","2.9","360.0","12.1","10.0","2014-01-09 06:26","0.0","0.0","0.0","","0.0","","4.6","43.0","11.55","10.5","2.7"
"10","1013.0","1023.3","1015.4","2014-01-10 09:08","1010.1","2014-01-10 14:56","16.3","21.6","2014-01-10 13:26","13.7","2014-01-10 23:38","10.7","70","54","2014-01-10 13:18","1.3","320.0","8.9","330.0","2014-01-10 15:29","0.0","0.0","0.0","","0.0","","7.1","66.4","14.06","11.5","1.7"
"11","1012.9","1023.2","1015.1","2014-01-11 08:33","1010.7","2014-01-11 15:44","16.8","23.6","2014-01-11 12:34","12.2","2014-01-11 06:59","13.0","79","49","2014-01-11 12:33","1.0","340.0","8.0","310.0","2014-01-11 13:47","0.0","0.0","0.0","","0.0","","9.2","85.9","15.04","8.3","1.7"
"12","1012.3","1022.5","1014.1","2014-01-12 09:09","1009.7","2014-01-12 15:05","17.8","22.2","2014-01-12 14:19","14.7","2014-01-12 06:59","12.9","73","56","2014-01-12 13:48","2.2","360.0","11.7","360.0","2014-01-12 11:14","0.0","0.0","0.0","","0.0","","9.5","88.6","15.75","8.9","3.9"
"13","1010.2","1020.4","1012.8","2014-01-13 00:01","1007.7","2014-01-13 14:32","16.2","20.5","2014-01-13 13:14","14.2","2014-01-13 06:24","11.2","73","58","2014-01-13 13:26","2.8","360.0","11.1","350.0","2014-01-13 14:36","0.0","0.0","0.0","","0.0","","6.6","61.5","14.93","10.8","2.4"
"14","1009.9","1020.2","1011.8","2014-01-14 23:29","1008.4","2014-01-14 04:02","14.8","17.4","2014-01-14 10:57","13.0","2014-01-14 23:51","10.2","74","64","2014-01-14 11:28","3.3","10.0","12.8","360.0","2014-01-14 17:02","0.0","0.0","0.0","","0.0","","2.2","20.5","8.75","10.5","4.6"
"15","1011.4","1021.7","1013.4","2014-01-15 23:58","1009.3","2014-01-15 13:07","15.3","20.9","2014-01-15 13:30","12.0","2014-01-15 06:35","6.5","57","39","2014-01-15 12:05","2.1","10.0","8.0","10.0","2014-01-15 02:42","0.0","0.0","0.0","","0.0","","9.5","88.4","16.39","12.0","2.3"
"16","1012.0","1022.3","1014.0","2014-01-16 09:15","1009.7","2014-01-16 13:56","16.0","22.6","2014-01-16 13:32","11.0","2014-01-16 06:39","8.6","63","40","2014-01-16 13:45","0.8","270.0","5.7","350.0","2014-01-16 09:43","0.0","0.0","0.0","","0.0","","9.2","85.5","15.79","11.6","1.6"
"17","1011.1","1021.3","1012.4","2014-01-17 22:31","1008.6","2014-01-17 14:19","16.8","22.9","2014-01-17 11:56","11.3","2014-01-17 06:44","9.8","65","40","2014-01-17 11:42","1.3","340.0","7.2","10.0","2014-01-17 13:51","0.0","0.0","0.0","","0.0","","9.9","91.9","16.29","10.8","2.5"
"18","1014.2","1024.5","1016.3","2014-01-18 21:03","1012.1","2014-01-18 00:02","15.0","20.4","2014-01-18 12:27","10.7","2014-01-18 23:52","5.9","55","42","2014-01-18 12:27","3.1","10.0","13.2","360.0","2014-01-18 16:19","0.0","0.0","0.0","","0.0","","9.6","89.0","16.08","11.9","3.3"
"19","1014.3","1024.6","1015.6","2014-01-19 08:50","1012.1","2014-01-19 14:26","14.6","21.8","2014-01-19 14:54","8.2","2014-01-19 06:09","7.2","63","40","2014-01-19 14:50","1.0","260.0","6.8","240.0","2014-01-19 15:45","0.0","0.0","0.0","","0.0","","6.5","60.2","14.32","8.9","2.4"
"20","1012.8","1023.1","1015.1","2014-01-20 09:05","1010.0","2014-01-20 15:09","15.3","21.1","2014-01-20 12:10","10.9","2014-01-20 06:31","10.1","72","43","2014-01-20 12:38","1.2","360.0","9.0","330.0","2014-01-20 16:32","0.0","0.0","0.0","","0.0","","9.1","84.2","15.48","6.6","1.5"
"21","1011.6","1022.0","1013.4","2014-01-21 23:15","1009.8","2014-01-21 13:45","13.5","18.0","2014-01-21 12:04","10.5","2014-01-21 23:41","5.5","59","44","2014-01-21 12:01","3.1","10.0","11.0","350.0","2014-01-21 15:30","0.0","0.0","0.0","","0.0","","5.2","48.0","13.54","8.8","3.6"
"22","1012.6","1023.0","1014.4","2014-01-22 09:25","1010.2","2014-01-22 14:44","12.8","18.3","2014-01-22 13:23","9.5","2014-01-22 23:06","3.6","55","40","2014-01-22 13:07","2.6","350.0","10.2","360.0","2014-01-22 11:53","0.0","0.0","0.0","","0.0","","9.4","86.7","16.08","11.6","2.4"
"23","1012.0","1022.3","1014.1","2014-01-23 08:25","1009.7","2014-01-23 14:17","13.5","21.0","2014-01-23 14:19","7.2","2014-01-23 05:26","5.5","61","33","2014-01-23 12:59","0.8","340.0","5.4","350.0","2014-01-23 15:08","0.0","0.0","0.0","","0.0","","9.7","89.3","16.83","10.3","1.4"
"24","1009.8","1020.1","1012.4","2014-01-24 09:22","1007.6","2014-01-24 15:21","14.7","21.7","2014-01-24 14:39","8.5","2014-01-24 06:02","5.5","57","26","2014-01-24 16:33","0.8","70.0","4.9","20.0","2014-01-24 13:18","0.0","0.0","0.0","","0.0","","10.0","92.0","16.99","11.0","3.3"
"25","1008.4","1018.6","1010.7","2014-01-25 08:52","1005.7","2014-01-25 14:45","17.0","25.4","2014-01-25 14:26","9.7","2014-01-25 04:49","6.8","54","29","2014-01-25 14:38","1.1","350.0","7.2","20.0","2014-01-25 10:51","0.0","0.0","0.0","","0.0","","9.9","90.9","17.97","14.4","2.1"
"26","1008.8","1019.0","1010.5","2014-01-26 08:52","1006.7","2014-01-26 15:17","16.1","21.4","2014-01-26 12:50","11.9","2014-01-26 04:39","9.3","64","51","2014-01-26 14:24","1.9","350.0","10.8","350.0","2014-01-26 16:44","0.0","0.0","0.0","","0.0","","0.3","2.8","8.95","9.5","3.1"
"27","1009.4","1019.6","1011.0","2014-01-27 09:36","1007.1","2014-01-27 15:10","16.8","22.7","2014-01-27 12:58","13.8","2014-01-27 23:15","10.4","67","48","2014-01-27 12:48","1.4","330.0","7.3","320.0","2014-01-27 13:23","0.0","0.0","0.0","","0.0","","9.3","85.2","15.58","9.8","1.5"
"28","1009.4","1019.6","1011.6","2014-01-28 09:40","1007.5","2014-01-28 15:22","17.1","24.2","2014-01-28 12:44","11.9","2014-01-28 05:57","11.6","73","44","2014-01-28 11:15","0.8","130.0","5.6","340.0","2014-01-28 13:30","0.0","0.0","0.0","","0.0","","9.5","86.9","15.83","9.3","3.4"
"29","1008.9","1019.1","1010.9","2014-01-29 08:41","1006.7","2014-01-29 15:05","17.5","24.0","2014-01-29 12:08","11.9","2014-01-29 06:11","12.1","72","43","2014-01-29 11:40","0.8","330.0","5.6","350.0","2014-01-29 14:37","0.0","0.0","0.0","","0.0","","9.4","85.8","15.78","9.8","0.4"
"30","1008.9","1019.0","1011.2","2014-01-30 08:52","1007.0","2014-01-30 16:35","18.3","26.2","2014-01-30 13:24","12.1","2014-01-30 06:38","9.4","59","29","2014-01-30 13:32","0.7","340.0","5.6","320.0","2014-01-30 15:13","0.0","0.0","0.0","","0.0","","9.6","87.5","16.24","9.3","2.2"
"31","1008.6","1018.7","1010.6","2014-01-31 08:50","1006.9","2014-01-31 14:26","18.0","25.7","2014-01-31 12:52","12.6","2014-01-31 06:05","11.8","69","42","2014-01-31 12:38","1.0","230.0","6.7","230.0","2014-01-31 13:05","0.0","0.0","0.0","","0.0","","9.3","84.7","16.12","9.1","2.1"
