"觀測時間(LST)ObsTime","測站氣壓(hPa)StnPres","海平面氣壓(hPa)SeaPres","測站最高氣壓(hPa)StnPresMax","測站最高氣壓時間(LST)StnPresMaxTime","測站最低氣壓(hPa)StnPresMin","測站最低氣壓時間(LST)StnPresMinTime","氣溫(℃)Temperature","最高氣溫(℃)T Max","最高氣溫時間(LST)T Max Time","最低氣溫(℃)T Min","最低氣溫時間(LST)T Min Time","露點溫度(℃)Td dew point","相對溼度(%)RH","最小相對溼度(%)RHMin","最小相對溼度時間(LST)RHMinTime","風速(m/s)WS","風向(最多風向)(360degree)WD","最大陣風(m/s)WSGust","最大陣風風向(360degree)WDGust","最大陣風風速時間(LST)WGustTime","降水量(mm)Precp","降水時數(hr)PrecpHour","10分鐘最大降水量(mm)PrecpMax10","10分鐘最大降水起始時間(LST)PrecpMax10Time","一小時最大降水量(mm)PrecpHrMax","一小時最大降水量起始時間(LST)PrecpHrMaxTime","日照時數(hr)SunShine","日照率(%)SunShineRate","全天空日射量(MJ/㎡)GloblRad","能見度(km)VisbMean","A型蒸發量(mm)EvapA"
"1","995.9","996.6","997.8","2014-08-01 23:15","994.2","2014-08-01 15:02","32.4","37.3","2014-08-01 14:07","29.1","2014-08-01 03:58","24.5","64","51","2014-08-01 14:03","3.2","270.0","13.1","290.0","2014-08-01 10:50","0.0","0.0","0.0","","0.0","","8.2","61.9","21.96","12.6","7.2"
"2","999.0","999.7","1002.1","2014-08-02 22:54","997.0","2014-08-02 00:13","31.2","37.7","2014-08-02 13:10","28.0","2014-08-02 05:16","23.6","64","46","2014-08-02 11:50","1.7","140.0","10.2","90.0","2014-08-02 14:15","0.5","0.4","0.5","2014-08-02 15:18","0.5","2014-08-02 15:18","7.6","57.4","21.83","13.0","-3.9"
"3","1001.9","1002.6","1003.6","2014-08-03 22:57","1000.0","2014-08-03 14:30","30.0","36.5","2014-08-03 12:36","27.4","2014-08-03 05:32","23.8","70","52","2014-08-03 12:05","1.6","150.0","9.7","100.0","2014-08-03 15:01","T","1.1","T","2014-08-03 15:15","T","2014-08-03 15:15","6.6","50.0","20.08","10.9","-5.3"
"4","1002.9","1003.6","1004.2","2014-08-04 07:28","1001.2","2014-08-04 15:29","29.9","34.3","2014-08-04 10:12","27.1","2014-08-04 05:04","24.1","71","59","2014-08-04 11:47","1.3","160.0","7.2","340.0","2014-08-04 13:17","0.5","0.5","0.5","2014-08-04 16:43","0.5","2014-08-04 15:53","4.0","30.3","12.94","13.0","-2.9"
"5","1004.0","1004.7","1005.4","2014-08-05 21:27","1002.4","2014-08-05 16:02","29.7","32.5","2014-08-05 10:29","27.7","2014-08-05 02:56","23.8","71","62","2014-08-05 11:12","1.4","200.0","6.8","300.0","2014-08-05 12:57","T","0.3","T","2014-08-05 02:45","T","2014-08-05 02:40","0.8","6.1","8.90","15.4","1.2"
"6","1003.5","1004.2","1005.3","2014-08-06 09:02","1001.3","2014-08-06 16:09","29.9","34.5","2014-08-06 14:54","27.5","2014-08-06 03:11","23.6","70","58","2014-08-06 14:43","1.2","80.0","7.7","270.0","2014-08-06 09:33","T","0.5","T","2014-08-06 10:10","T","2014-08-06 10:10","3.7","28.1","13.44","16.6","-3.8"
"7","1002.0","1002.7","1003.8","2014-08-07 08:31","999.5","2014-08-07 16:14","30.8","35.0","2014-08-07 14:16","27.6","2014-08-07 02:55","24.2","68","58","2014-08-07 14:16","1.1","320.0","9.2","340.0","2014-08-07 14:21","2.0","0.3","2.0","2014-08-07 11:20","2.0","2014-08-07 11:15","7.1","54.1","20.41","15.3","-3.8"
"8","1001.4","1002.1","1003.2","2014-08-08 23:45","999.1","2014-08-08 15:42","31.6","36.1","2014-08-08 11:51","28.5","2014-08-08 04:30","24.5","67","55","2014-08-08 11:41","1.5","260.0","8.9","330.0","2014-08-08 14:24","0.0","0.0","0.0","","0.0","","8.1","61.8","21.90","15.3","6.4"
"9","1002.8","1003.5","1004.6","2014-08-09 21:03","1001.2","2014-08-09 16:10","30.7","34.3","2014-08-09 13:56","28.5","2014-08-09 18:59","24.4","69","59","2014-08-09 12:33","1.9","340.0","7.7","280.0","2014-08-09 00:23","0.0","0.0","0.0","","0.0","","1.9","14.5","14.10","17.0","3.6"
"10","1002.8","1003.5","1003.9","2014-08-10 10:25","1001.2","2014-08-10 15:24","30.8","35.2","2014-08-10 12:14","27.7","2014-08-10 05:33","24.3","69","57","2014-08-10 12:00","1.2","80.0","6.0","80.0","2014-08-10 16:36","T","0.6","T","2014-08-10 14:10","T","2014-08-10 13:55","2.8","21.4","13.82","17.1","-2.1"
