"觀測時間(LST)ObsTime","測站氣壓(hPa)StnPres","海平面氣壓(hPa)SeaPres","測站最高氣壓(hPa)StnPresMax","測站最高氣壓時間(LST)StnPresMaxTime","測站最低氣壓(hPa)StnPresMin","測站最低氣壓時間(LST)StnPresMinTime","氣溫(℃)Temperature","最高氣溫(℃)T Max","最高氣溫時間(LST)T Max Time","最低氣溫(℃)T Min","最低氣溫時間(LST)T Min Time","露點溫度(℃)Td dew point","相對溼度(%)RH","最小相對溼度(%)RHMin","最小相對溼度時間(LST)RHMinTime","風速(m/s)WS","風向(最多風向)(360degree)WD","最大陣風(m/s)WSGust","最大陣風風向(360degree)WDGust","最大陣風風速時間(LST)WGustTime","降水量(mm)Precp","降水時數(hr)PrecpHour","10分鐘最大降水量(mm)PrecpMax10","10分鐘最大降水起始時間(LST)PrecpMax10Time","一小時最大降水量(mm)PrecpHrMax","一小時最大降水量起始時間(LST)PrecpHrMaxTime","日照時數(hr)SunShine","日照率(%)SunShineRate","全天空日射量(MJ/㎡)GloblRad","能見度(km)VisbMean","A型蒸發量(mm)EvapA"
"1","1005.5","1007.7","1008.1","2014-06-01 00:04","1003.7","2014-06-01 16:24","27.7","31.3","2014-06-01 12:48","24.7","2014-06-01 05:33","24.2","82","70","2014-06-01 12:01","2.4","80.0","5.9","80.0","2014-06-01 13:26","0.0","0.0","0.0","","0.0","","7.9","58.6","25.86","14.6","4.1"
"2","1001.9","1004.1","1004.2","2014-06-02 00:04","999.8","2014-06-02 16:05","28.4","32.2","2014-06-02 14:47","25.2","2014-06-02 04:56","23.6","76","65","2014-06-02 14:39","2.5","70.0","6.2","90.0","2014-06-02 13:10","0.0","0.0","0.0","","0.0","","9.6","71.2","26.72","12.8","4.8"
"3","1001.3","1003.5","1003.2","2014-06-03 22:02","999.6","2014-06-03 03:04","25.9","27.3","2014-06-03 00:01","24.7","2014-06-03 12:28","23.3","86","72","2014-06-03 01:27","2.2","240.0","7.5","230.0","2014-06-03 14:24","9.0","5.1","1.0","2014-06-03 10:55","3.0","2014-06-03 10:51","0.8","5.9","7.21","11.8","-0.8"
"4","1002.3","1004.5","1003.4","2014-06-04 21:57","1001.1","2014-06-04 16:05","26.2","28.9","2014-06-04 11:05","24.5","2014-06-04 04:01","23.0","83","71","2014-06-04 11:11","1.8","80.0","5.5","20.0","2014-06-04 08:22","T","0.5","T","2014-06-04 14:34","T","2014-06-04 14:10","0.2","1.5","14.66","10.5","-0.6"
"5","1002.0","1004.2","1003.2","2014-06-05 22:35","1000.9","2014-06-05 16:17","26.2","30.1","2014-06-05 10:36","23.6","2014-06-05 02:11","23.0","83","71","2014-06-05 08:43","2.6","240.0","9.0","150.0","2014-06-05 11:19","7.5","3.5","1.0","2014-06-05 15:53","3.0","2014-06-05 15:40","4.7","34.8","15.77","11.0","-1.5"
"6","1002.8","1005.0","1004.2","2014-06-06 21:50","1001.4","2014-06-06 02:05","25.1","26.7","2014-06-06 15:49","23.4","2014-06-06 19:21","22.2","85","70","2014-06-06 16:23","1.8","30.0","5.9","360.0","2014-06-06 01:00","4.5","3.7","1.0","2014-06-06 18:03","3.0","2014-06-06 17:30","0.0","0.0","3.44","9.8","-0.9"
"7","1001.0","1003.2","1003.6","2014-06-07 00:02","999.0","2014-06-07 15:56","26.2","28.9","2014-06-07 15:22","23.6","2014-06-07 02:50","23.5","86","73","2014-06-07 15:31","1.8","360.0","4.8","10.0","2014-06-07 23:04","1.0","2.4","0.5","2014-06-07 00:30","0.5","2014-06-07 00:10","0.6","4.4","13.41","10.0","2.2"
"8","1000.2","1002.4","1002.0","2014-06-08 21:35","998.7","2014-06-08 14:45","27.0","31.5","2014-06-08 09:58","24.7","2014-06-08 05:36","23.8","83","67","2014-06-08 13:01","2.4","280.0","8.7","20.0","2014-06-08 14:02","4.0","3.7","1.5","2014-06-08 17:45","2.5","2014-06-08 16:55","3.5","25.9","16.45","12.5","-1.6"
"9","999.3","1001.5","1000.5","2014-06-09 09:04","998.1","2014-06-09 15:48","27.1","30.7","2014-06-09 12:20","24.4","2014-06-09 04:57","24.4","85","75","2014-06-09 12:02","2.0","70.0","6.0","70.0","2014-06-09 12:54","0.0","0.0","0.0","","0.0","","4.9","36.2","19.14","10.9","3.3"
"10","998.0","1000.2","999.3","2014-06-10 00:01","996.6","2014-06-10 15:02","27.6","30.3","2014-06-10 11:58","25.9","2014-06-10 01:18","24.6","84","74","2014-06-10 13:23","2.8","30.0","9.8","30.0","2014-06-10 18:22","0.0","0.0","0.0","","0.0","","3.6","26.6","18.15","10.3","5.3"
"11","999.0","1001.2","1002.2","2014-06-11 22:21","996.5","2014-06-11 01:06","26.3","28.9","2014-06-11 09:53","24.8","2014-06-11 17:54","23.4","84","75","2014-06-11 23:04","4.7","50.0","12.3","30.0","2014-06-11 18:29","4.0","2.7","1.0","2014-06-11 17:23","3.5","2014-06-11 17:06","0.2","1.5","8.13","12.0","-1.4"
"12","1002.7","1004.9","1004.7","2014-06-12 21:42","1000.7","2014-06-12 03:50","26.3","28.8","2014-06-12 13:17","24.4","2014-06-12 04:37","20.9","72","63","2014-06-12 13:53","3.3","40.0","10.4","40.0","2014-06-12 07:30","0.0","0.0","0.0","","0.0","","1.2","8.9","15.33","11.5","3.5"
"13","1004.6","1006.8","1006.3","2014-06-13 21:14","1002.9","2014-06-13 01:54","25.6","29.1","2014-06-13 13:24","23.6","2014-06-13 02:34","20.5","74","54","2014-06-13 12:54","2.4","250.0","8.6","40.0","2014-06-13 08:13","0.5","0.7","0.5","2014-06-13 15:18","0.5","2014-06-13 15:05","0.0","0.0","18.05","10.5","-2.3"
"14","1005.0","1007.2","1005.9","2014-06-14 10:49","1003.7","2014-06-14 15:25","25.6","27.2","2014-06-14 09:54","23.2","2014-06-14 02:50","23.0","85","76","2014-06-14 08:41","2.8","230.0","7.9","210.0","2014-06-14 22:52","1.5","4.4","0.5","2014-06-14 11:05","1.0","2014-06-14 10:40","0.4","2.9","13.49","10.5","-1.3"
"15","1003.6","1005.8","1005.2","2014-06-15 00:04","1002.0","2014-06-15 15:41","26.8","29.9","2014-06-15 11:00","24.4","2014-06-15 05:01","24.5","88","79","2014-06-15 11:00","3.6","170.0","10.8","160.0","2014-06-15 14:39","7.5","3.8","1.0","2014-06-15 01:50","5.0","2014-06-15 01:49","1.6","11.8","25.30","14.1","-2.0"
"16","1002.3","1004.4","1004.1","2014-06-16 00:01","1000.6","2014-06-16 17:24","28.5","32.1","2014-06-16 12:49","25.6","2014-06-16 04:23","25.4","84","74","2014-06-16 11:20","2.6","20.0","10.2","180.0","2014-06-16 14:24","0.0","0.0","0.0","","0.0","","9.8","72.2","29.68","11.8","3.9"
"17","1001.0","1003.2","1002.6","2014-06-17 21:49","999.7","2014-06-17 15:51","28.8","32.3","2014-06-17 15:26","26.3","2014-06-17 05:06","24.5","78","64","2014-06-17 15:38","1.9","250.0","6.1","30.0","2014-06-17 16:41","0.0","0.0","0.0","","0.0","","2.3","16.9","21.70","12.6","1.8"
"18","1002.8","1005.0","1004.2","2014-06-18 08:55","1001.1","2014-06-18 15:51","29.4","34.0","2014-06-18 13:06","26.0","2014-06-18 04:30","24.3","75","57","2014-06-18 14:58","3.2","240.0","9.3","50.0","2014-06-18 18:14","0.0","0.0","0.0","","0.0","","8.1","59.7","24.08","15.5","5.5"
"19","1003.2","1005.4","1004.4","2014-06-19 21:42","1001.9","2014-06-19 16:15","28.7","31.5","2014-06-19 11:27","26.8","2014-06-19 05:44","25.1","81","76","2014-06-19 11:27","2.0","90.0","5.7","70.0","2014-06-19 11:54","0.0","0.0","0.0","","0.0","","4.7","34.6","23.01","12.0","6.7"
"20","1003.1","1005.3","1004.8","2014-06-20 21:45","1002.0","2014-06-20 03:07","28.5","31.4","2014-06-20 12:33","25.9","2014-06-20 04:51","25.7","85","76","2014-06-20 10:32","4.3","160.0","11.9","170.0","2014-06-20 10:59","0.0","0.0","0.0","","0.0","","9.4","69.2","23.77","15.1","4.4"
"21","1003.4","1005.6","1005.1","2014-06-21 22:23","1001.3","2014-06-21 15:42","28.7","31.4","2014-06-21 14:07","26.3","2014-06-21 05:27","25.3","82","73","2014-06-21 08:45","4.6","170.0","17.1","170.0","2014-06-21 15:58","0.0","0.0","0.0","","0.0","","11.5","84.7","26.53","16.3","6.7"
"22","1003.7","1005.9","1005.3","2014-06-22 21:53","1002.2","2014-06-22 15:46","29.0","32.1","2014-06-22 12:24","26.3","2014-06-22 05:28","25.1","80","71","2014-06-22 12:50","2.5","150.0","8.6","160.0","2014-06-22 10:52","0.0","0.0","0.0","","0.0","","9.9","72.9","28.10","15.3","5.5"
