"觀測時間(LST)ObsTime","測站氣壓(hPa)StnPres","海平面氣壓(hPa)SeaPres","測站最高氣壓(hPa)StnPresMax","測站最高氣壓時間(LST)StnPresMaxTime","測站最低氣壓(hPa)StnPresMin","測站最低氣壓時間(LST)StnPresMinTime","氣溫(℃)Temperature","最高氣溫(℃)T Max","最高氣溫時間(LST)T Max Time","最低氣溫(℃)T Min","最低氣溫時間(LST)T Min Time","露點溫度(℃)Td dew point","相對溼度(%)RH","最小相對溼度(%)RHMin","最小相對溼度時間(LST)RHMinTime","風速(m/s)WS","風向(最多風向)(360degree)WD","最大陣風(m/s)WSGust","最大陣風風向(360degree)WDGust","最大陣風風速時間(LST)WGustTime","降水量(mm)Precp","降水時數(hr)PrecpHour","10分鐘最大降水量(mm)PrecpMax10","10分鐘最大降水起始時間(LST)PrecpMax10Time","一小時最大降水量(mm)PrecpHrMax","一小時最大降水量起始時間(LST)PrecpHrMaxTime","日照時數(hr)SunShine","日照率(%)SunShineRate","全天空日射量(MJ/㎡)GloblRad","能見度(km)VisbMean","A型蒸發量(mm)EvapA"
"1","1010.2","1010.6","1011.6","2014-10-01 07:56","1008.5","2014-10-01 15:03","29.4","31.5","2014-10-01 12:51","27.7","2014-10-01 06:08","24.3","74","67","2014-10-01 13:27","1.9","320.0","7.0","320.0","2014-10-01 02:25","0.0","0.0","0.0","","0.0","","8.0","67.5","19.53","8.0","5.2"
"2","1008.4","1008.8","1010.4","2014-10-02 00:07","1006.4","2014-10-02 15:15","28.9","31.2","2014-10-02 12:44","26.7","2014-10-02 06:07","24.2","76","68","2014-10-02 20:10","1.8","280.0","5.5","280.0","2014-10-02 13:24","0.0","0.0","0.0","","0.0","","8.8","74.4","18.29","6.3","3.3"
"3","1007.2","1007.6","1008.6","2014-10-03 20:08","1005.9","2014-10-03 02:59","28.6","31.3","2014-10-03 12:19","26.8","2014-10-03 06:21","23.6","75","64","2014-10-03 23:56","2.0","280.0","7.5","280.0","2014-10-03 13:58","0.0","0.0","0.0","","0.0","","7.2","61.0","17.79","5.8","5.9"
"4","1008.1","1008.5","1010.0","2014-10-04 23:26","1006.7","2014-10-04 03:38","27.1","30.4","2014-10-04 13:29","24.4","2014-10-04 05:24","20.3","67","59","2014-10-04 12:53","1.8","350.0","7.5","180.0","2014-10-04 10:05","0.0","0.0","0.0","","0.0","","7.5","63.7","18.24","6.1","3.9"
"5","1010.4","1010.8","1012.5","2014-10-05 21:37","1008.8","2014-10-05 03:03","27.4","30.4","2014-10-05 11:15","24.1","2014-10-05 05:16","20.6","66","56","2014-10-05 11:10","1.7","270.0","6.3","180.0","2014-10-05 20:52","0.0","0.0","0.0","","0.0","","8.6","73.1","18.74","10.3","7.1"
"6","1012.2","1012.6","1013.7","2014-10-06 09:25","1010.8","2014-10-06 14:27","27.3","30.0","2014-10-06 11:14","24.0","2014-10-06 06:04","20.4","66","61","2014-10-06 09:14","2.1","50.0","7.0","330.0","2014-10-06 12:50","0.0","0.0","0.0","","0.0","","9.0","76.7","19.81","9.3","3.4"
"7","1011.6","1012.0","1013.6","2014-10-07 09:04","1010.2","2014-10-07 14:55","27.1","30.5","2014-10-07 13:16","24.2","2014-10-07 05:28","19.5","63","53","2014-10-07 10:45","1.9","270.0","6.5","280.0","2014-10-07 14:14","0.0","0.0","0.0","","0.0","","9.5","81.1","19.44","7.8","5.1"
"8","1009.5","1009.9","1011.0","2014-10-08 08:08","1007.8","2014-10-08 14:49","27.0","29.9","2014-10-08 11:17","24.2","2014-10-08 06:03","19.7","65","54","2014-10-08 09:32","1.5","70.0","5.7","280.0","2014-10-08 13:05","0.0","0.0","0.0","","0.0","","6.0","51.3","14.73","7.4","4.6"
"9","1006.9","1007.3","1009.4","2014-10-09 00:01","1005.3","2014-10-09 15:03","27.4","30.1","2014-10-09 14:59","23.8","2014-10-09 06:12","21.0","69","60","2014-10-09 18:11","1.8","290.0","7.6","290.0","2014-10-09 12:27","0.0","0.0","0.0","","0.0","","8.5","72.8","18.23","5.8","4.1"
"10","1005.3","1005.6","1006.6","2014-10-10 21:14","1003.3","2014-10-10 14:47","28.2","31.6","2014-10-10 12:56","25.1","2014-10-10 06:27","22.7","73","61","2014-10-10 13:50","2.1","310.0","7.3","300.0","2014-10-10 16:16","0.0","0.0","0.0","","0.0","","8.9","76.4","16.68","6.5","4.8"
"11","1006.3","1006.7","1008.5","2014-10-11 22:08","1004.3","2014-10-11 14:27","28.7","33.0","2014-10-11 12:42","25.4","2014-10-11 23:28","22.2","69","58","2014-10-11 14:29","2.7","350.0","8.6","310.0","2014-10-11 14:01","0.0","0.0","0.0","","0.0","","9.4","80.8","18.68","7.8","5.4"
